lr-SGD,step,train_loss,epoch,val_loss,val_acc,test_loss,test_acc
0.00400020634824233,49,,,,,,
,49,353.5933532714844,0,,,,
0.004000842321806308,99,,,,,,
,99,269.00811767578125,0,,,,
0.004001908000941176,149,,,,,,
,149,241.58045959472656,0,,,,
,156,,0,238.5635986328125,0.10350000113248825,,
0.004003403376106621,199,,,,,,
,199,229.6446533203125,1,,,,
0.004005328433915503,249,,,,,,
,249,222.92543029785156,1,,,,
0.004007683157133984,299,,,,,,
,299,218.33071899414062,1,,,,
,313,,1,217.19430541992188,0.10350000113248825,,
0.00401046752468176,349,,,,,,
,349,215.6075897216797,2,,,,
0.004013681511632186,399,,,,,,
,399,212.69241333007812,2,,,,
0.0040173250892125145,449,,,,,,
,449,211.41094970703125,2,,,,
,470,,2,209.8009796142578,0.10350000113248825,,
0.004021398224804129,499,,,,,,
,499,209.75946044921875,3,,,,
0.004025900881942865,549,,,,,,
,549,208.2030029296875,3,,,,
0.004030833020319327,599,,,,,,
,599,207.2105255126953,3,,,,
,627,,3,205.7257843017578,0.10350000113248825,,
0.004036194595779266,649,,,,,,
,649,205.46380615234375,4,,,,
0.004041985560323938,699,,,,,,
,699,205.40643310546875,4,,,,
0.004048205862110563,749,,,,,,
,749,203.76580810546875,4,,,,
,784,,4,203.04165649414062,0.10350000113248825,,
0.004054855445452782,799,,,,,,
,799,203.60671997070312,5,,,,
0.0040619342508211725,849,,,,,,
,849,201.9912109375,5,,,,
0.004069442214843733,899,,,,,,
,899,201.69662475585938,5,,,,
,941,,5,201.10220336914062,0.10350000113248825,,
0.0040773792703064915,949,,,,,,
,949,201.74526977539062,6,,,,
0.004085745346154093,999,,,,,,
,999,200.81143188476562,6,,,,
0.004094540367490435,1049,,,,,,
,1049,199.29348754882812,6,,,,
,1098,,6,199.62860107421875,0.10350000113248825,,
0.004103764255579387,1099,,,,,,
,1099,199.96206665039062,7,,,,
0.004113416927845379,1149,,,,,,
,1149,199.82228088378906,7,,,,
0.00412349829787427,1199,,,,,,
,1199,198.91891479492188,7,,,,
0.0041340082754140195,1249,,,,,,
,1249,198.89813232421875,7,,,,
,1255,,7,198.4475555419922,0.10350000113248825,,
0.004144946766375585,1299,,,,,,
,1299,198.10032653808594,8,,,,
0.0041563136728337,1349,,,,,,
,1349,198.49765014648438,8,,,,
0.004168108893027739,1399,,,,,,
,1399,197.84300231933594,8,,,,
,1412,,8,197.47723388671875,0.10350000113248825,,
0.004180332321362681,1449,,,,,,
,1449,197.67373657226562,9,,,,
0.0041929838484100895,1499,,,,,,
,1499,196.98980712890625,9,,,,
0.004206063360908924,1549,,,,,,
,1549,197.08868408203125,9,,,,
,1569,,9,196.67066955566406,0.10350000113248825,,
0.004219570741766765,1599,,,,,,
,1599,197.2177276611328,10,,,,
0.0042335058700607026,1649,,,,,,
,1649,197.21548461914062,10,,,,
0.004247868621038514,1699,,,,,,
,1699,196.57745361328125,10,,,,
,1726,,10,195.97364807128906,0.10350000113248825,,
0.00426265886611972,1749,,,,,,
,1749,196.86041259765625,11,,,,
0.004277876472896791,1799,,,,,,
,1799,196.5466766357422,11,,,,
0.004293521305136286,1849,,,,,,
,1849,195.9673614501953,11,,,,
,1883,,11,195.37704467773438,0.10350000113248825,,
0.004309593222780059,1899,,,,,,
,1899,195.50328063964844,12,,,,
0.004326092081946606,1949,,,,,,
,1949,195.43093872070312,12,,,,
0.004343017734932245,1999,,,,,,
,1999,194.883544921875,12,,,,
,2040,,12,194.84490966796875,0.10350000113248825,,
0.004360370030212488,2049,,,,,,
,2049,195.13540649414062,13,,,,
0.00437814881244343,2099,,,,,,
,2099,195.24993896484375,13,,,,
0.004396353922463042,2149,,,,,,
,2149,194.68911743164062,13,,,,
,2197,,13,194.37889099121094,0.10350000113248825,,
0.00441498519729272,2199,,,,,,
,2199,194.65924072265625,14,,,,
0.004434042470138622,2249,,,,,,
,2249,194.89785766601562,14,,,,
0.00445352557039326,2299,,,,,,
,2299,194.4535369873047,14,,,,
0.004473434323636977,2349,,,,,,
,2349,193.92724609375,14,,,,
,2354,,14,193.96099853515625,0.10350000113248825,,
0.004493768551639507,2399,,,,,,
,2399,193.93850708007812,15,,,,
0.004514528072361593,2449,,,,,,
,2449,193.85157775878906,15,,,,
0.004535712699956632,2499,,,,,,
,2499,193.75332641601562,15,,,,
,2511,,15,193.5832977294922,0.10350000113248825,,
0.0045573222447722606,2549,,,,,,
,2549,194.1385498046875,16,,,,
0.004579356513352104,2599,,,,,,
,2599,193.03115844726562,16,,,,
0.004601815308437604,2649,,,,,,
,2649,193.33462524414062,16,,,,
,2668,,16,193.2415008544922,0.10350000113248825,,
0.004624698428969551,2699,,,,,,
,2699,193.35986328125,17,,,,
0.004648005670090133,2749,,,,,,
,2749,192.98487854003906,17,,,,
0.004671736823144604,2799,,,,,,
,2799,193.19105529785156,17,,,,
,2825,,17,192.93289184570312,0.10350000113248825,,
0.004695891675683225,2849,,,,,,
